Class,Total,Correct,Accuracy
0,1304,1296,0.9939
1,657,622,0.9467
2,990,962,0.9717
3,988,930,0.9413
4,755,699,0.9258
5,1001,968,0.9670
6,791,770,0.9735
7,621,581,0.9356
8,842,817,0.9703
9,841,818,0.9727
10,745,713,0.9570
11,466,430,0.9227
12,349,339,0.9713
13,391,379,0.9693
14,488,476,0.9754
15,473,459,0.9704
16,533,523,0.9812
17,544,532,0.9779
18,636,624,0.9811
19,704,677,0.9616
20,754,704,0.9337
21,587,535,0.9114
22,523,502,0.9598
23,538,524,0.9740
24,582,553,0.9502
25,517,501,0.9691
26,518,506,0.9768
27,598,584,0.9766
28,652,626,0.9601
29,818,755,0.9230
30,838,787,0.9391
31,364,327,0.8984
32,376,367,0.9761
33,532,507,0.9530
34,533,496,0.9306
35,534,508,0.9513
36,587,558,0.9506
37,534,518,0.9700
38,651,612,0.9401
39,761,712,0.9356
40,933,896,0.9603
41,395,374,0.9468
42,371,355,0.9569
43,480,469,0.9771
44,542,522,0.9631
45,556,554,0.9964
46,649,636,0.9800
47,568,550,0.9683
48,578,541,0.9360
49,752,727,0.9668
50,838,825,0.9845
51,421,404,0.9596
52,489,470,0.9611
53,559,534,0.9553
54,558,540,0.9677
55,560,558,0.9964
56,664,637,0.9593
57,807,776,0.9616
58,844,817,0.9680
59,704,679,0.9645
60,640,609,0.9516
61,407,391,0.9607
62,390,378,0.9692
63,543,523,0.9632
64,620,599,0.9661
65,589,582,0.9881
66,581,560,0.9639
67,557,545,0.9785
68,541,519,0.9593
69,711,675,0.9494
70,607,592,0.9753
71,429,420,0.9790
72,332,314,0.9458
73,441,429,0.9728
74,576,554,0.9618
75,487,480,0.9856
76,605,587,0.9702
77,505,490,0.9703
78,625,582,0.9312
79,958,921,0.9614
80,576,552,0.9583
81,484,471,0.9731
82,463,442,0.9546
83,474,446,0.9409
84,478,475,0.9937
85,544,533,0.9798
86,607,598,0.9852
87,620,601,0.9694
88,663,646,0.9744
89,691,681,0.9855
90,552,533,0.9656
91,318,310,0.9748
92,452,433,0.9580
93,388,371,0.9562
94,533,523,0.9812
95,460,458,0.9957
96,579,578,0.9983
97,655,645,0.9847
98,832,797,0.9579
99,917,910,0.9924
