parameter,value
timestamp,2025-10-26 18:12:57
model_architecture,original_haverland
input_shape,(32, 20, 1)
nb_classes,10
data_sources,Tenth-of-step-of-a-meter-digit(1.0)
batch_size,32
epochs,200
learning_rate,0.001
use_early_stopping,True
early_stopping_monitor,val_accuracy
early_stopping_patience,30
lr_scheduler_monitor,val_loss
lr_scheduler_patience,3
lr_scheduler_factor,0.5
QUANTIZE_MODEL,True
esp_dl_quantize,False
quantize_num_samples,1000
use_gpu,False
keras_test_accuracy,0.9874
tflite_test_accuracy,0.9874
best_val_accuracy,0.9903
quantized_model_size_kb,203.4
float_model_size_kb,746.7
training_time,0:21:36.402612
optimizer,rmsprop
